angle,RawValue,Muscle,MinV,MaxV,AdjustedForce,AdjustedActivation
226.95652173913,834.146341463414,TA,5,12,0,6.97435897435898
250.434782608695,831.707317073171,TA,5,12,0,6.79487179487186
270,836.585365853658,TA,5,12,0,7.15384615384615
281.739130434782,846.341463414634,TA,5,12,0,7.87179487179489
293.478260869565,854.878048780488,TA,5,12,0,8.50000000000005
305.217391304347,869.512195121951,TA,5,12,0,9.57692307692308
316.95652173913,887.80487804878,TA,5,12,0,10.9230769230769
332.608695652174,902.439024390244,TA,5,12,0,12
356.086956521739,891.463414634146,TA,5,12,0,11.1923076923077
363.91304347826,876.829268292683,TA,5,12,0,10.1153846153846
371.739130434782,864.634146341463,TA,5,12,0,9.21794871794871
